issue_id,activity_id,state,title,labels,updated_at,url,tasks_total,tasks_done
200,GGI-A-37,opened,Open source enabling digital transformation,"Decision Maker,Not Started,Strategy Goal",2022-09-28T12:06:11.856Z,https://gitlab.ow2.org/ggi/my-ggi-board-test/-/issues/200,0,0
199,GGI-A-36,opened,Open source enabling innovation,"Decision Maker,Not Started,Strategy Goal",2022-09-28T12:06:11.379Z,https://gitlab.ow2.org/ggi/my-ggi-board-test/-/issues/199,0,0
198,GGI-A-35,opened,Open source and digital sovereignty,"Decision Maker,In Progress,Strategy Goal",2022-10-01T08:19:13.095Z,https://gitlab.ow2.org/ggi/my-ggi-board-test/-/issues/198,0,0
197,GGI-A-34,opened,C-Level awareness,"Decision Maker,Done,Strategy Goal",2022-10-01T08:19:06.480Z,https://gitlab.ow2.org/ggi/my-ggi-board-test/-/issues/197,0,0
196,GGI-A-16,opened,Setup a strategy for corporate open source governance,"Decision Maker,Not Started,Strategy Goal",2022-09-28T12:06:09.849Z,https://gitlab.ow2.org/ggi/my-ggi-board-test/-/issues/196,0,0
195,GGI-A-43,opened,Open source procurement policy,"Decision Maker,Engagement Goal,Not Started",2022-09-28T12:06:09.288Z,https://gitlab.ow2.org/ggi/my-ggi-board-test/-/issues/195,0,0
194,GGI-A-33,opened,Engage with open source vendors,"Decision Maker,Engagement Goal,Not Started",2022-09-28T12:06:08.855Z,https://gitlab.ow2.org/ggi/my-ggi-board-test/-/issues/194,0,0
193,GGI-A-31,opened,Publicly assert use of open source,"Decision Maker,Engagement Goal,Not Started,Team Leader",2022-09-28T12:06:08.461Z,https://gitlab.ow2.org/ggi/my-ggi-board-test/-/issues/193,0,0
192,GGI-A-30,opened,Support open source communities,"Decision Maker,Engagement Goal,Not Started",2022-09-28T12:06:08.011Z,https://gitlab.ow2.org/ggi/my-ggi-board-test/-/issues/192,0,0
191,GGI-A-29,opened,Engage with open source projects,"Decision Maker,Developer,Engagement Goal,Not Started",2022-09-28T12:06:07.640Z,https://gitlab.ow2.org/ggi/my-ggi-board-test/-/issues/191,0,0
190,GGI-A-39,opened,Upstream first,"Culture Goal,Developer,Not Started,Team Leader",2022-09-28T12:06:07.252Z,https://gitlab.ow2.org/ggi/my-ggi-board-test/-/issues/190,0,0
189,GGI-A-28,opened,HR perspective,"Culture Goal,Decision Maker,Not Started",2022-09-28T12:06:06.840Z,https://gitlab.ow2.org/ggi/my-ggi-board-test/-/issues/189,0,0
188,GGI-A-27,opened,Belong to the open source community,"Culture Goal,Decision Maker,Not Started,Team Leader",2022-09-28T12:06:06.305Z,https://gitlab.ow2.org/ggi/my-ggi-board-test/-/issues/188,0,0
187,GGI-A-26,opened,Contribute to open source projects,"Culture Goal,Developer,Not Started,Team Leader",2022-09-28T12:06:05.903Z,https://gitlab.ow2.org/ggi/my-ggi-board-test/-/issues/187,0,0
186,GGI-A-25,opened,Promote open source development best practices,"Culture Goal,Developer,Not Started,Team Leader",2022-09-28T12:06:05.413Z,https://gitlab.ow2.org/ggi/my-ggi-board-test/-/issues/186,0,0
